# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 06:32:10 2018
#
# CONSTRAINT:  where (pl_disc = 2018
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_metfe:       Stellar Metallicity [dex]
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbsmax,st_teff,st_mass,st_rad,pl_eqt,pl_insol,pl_rade,pl_ratdor,pl_ratror,st_logg,st_dens,st_metfe
8,24 Boo,24 Boo b,1,30.35060000,0.190000,4893.00,0.99,10.64,,,,,,2.42,,-0.770
51,BD+48 740,BD+48 740 b,1,733.00000000,1.700000,4534.00,1.09,10.33,,,,,,2.48,,-0.130
76,CoRoT-20,CoRoT-20 c,2,1675.00000000,2.900000,,1.14,,,,,,,,,
99,EPIC 211945201,EPIC 211945201 b,1,19.49213000,0.148000,6025.00,1.18,1.38,886,,6.120,23.100000,0.04070,4.25,0.6300,0.100
102,EPIC 246851721,EPIC 246851721 b,1,6.18023500,0.072290,6202.00,1.32,1.59,1401,642.00,11.781,9.800000,0.06810,4.16,0.4650,0.141
106,GJ 1132,GJ 1132 c,2,8.92900000,0.047600,3270.00,0.18,0.21,300,,,,,,,
170,HAT-P-11,HAT-P-11 c,2,3407.00000000,4.130000,4780.00,0.81,0.68,,,,,,,,0.310
255,HATS-36,HATS-36 b,1,4.17523870,0.054250,6149.00,1.22,1.16,1356,561.00,13.843,10.100000,0.10966,4.40,1.1180,0.280
256,HATS-39,HATS-39 b,1,4.57763480,0.060070,6572.00,1.38,1.62,1645,,17.598,7.970000,0.09930,4.16,0.4570,0.000
258,HATS-40,HATS-40 b,1,3.26427360,0.049970,6460.00,1.56,2.26,2101,,17.710,4.740000,0.07160,3.92,0.1890,0.010
259,HATS-41,HATS-41 b,1,4.19364900,0.058300,6424.00,1.50,1.71,1710,,14.908,7.310000,0.07980,4.14,0.4200,0.470
260,HATS-42,HATS-42 b,1,2.29210200,0.036890,6060.00,1.27,1.48,1856,,15.693,5.360000,0.09760,4.20,0.5500,0.220
261,HATS-43,HATS-43 b,1,4.38884970,0.049440,5099.00,0.84,0.81,1003,,13.227,13.040000,0.14920,4.54,2.1800,0.050
262,HATS-44,HATS-44 b,1,2.74390040,0.036490,5080.00,0.86,0.85,1161,,11.960,9.240000,0.12900,4.51,1.9800,0.320
263,HATS-45,HATS-45 b,1,4.18762440,0.055110,6450.00,1.27,1.31,1518,,14.415,9.020000,0.10040,4.30,0.7900,0.020
264,HATS-46,HATS-46 b,1,4.74237290,0.053670,5495.00,0.92,0.85,1054,,10.122,13.550000,0.10880,4.54,2.1000,-0.060
394,HD 148164,HD 148164 b,2,328.55000000,0.993000,6032.00,1.21,1.34,,,,,,,,0.240
395,HD 148164,HD 148164 c,2,5062.00000000,6.150000,6032.00,1.21,1.34,,,,,,,,0.240
396,HD 148284,HD 148284 b,1,339.33100000,0.974000,5572.00,1.07,1.48,,,,,,,,0.160
417,HD 158996,HD 158996 b,1,820.20000000,2.100000,4069.00,1.80,50.30,,,,,,1.40,,-0.200
502,HD 203473,HD 203473 b,1,1552.90000000,2.730000,5780.00,1.12,1.33,,,,,,,,0.190
523,HD 211810,HD 211810 b,1,1558.00000000,2.656000,5652.00,1.03,1.13,,,,,,,,0.170
528,HD 215152,HD 215152 b,4,5.75999000,0.057638,4935.00,0.77,0.73,,,,,,4.40,,-0.100
529,HD 215152,HD 215152 c,4,7.28243000,0.067393,4935.00,0.77,0.73,,,,,,4.40,,-0.100
530,HD 215152,HD 215152 d,4,10.86499000,0.087990,4935.00,0.77,0.73,,,,,,4.40,,-0.100
531,HD 215152,HD 215152 e,4,25.19670000,0.154170,4935.00,0.77,0.73,,,,,,4.40,,-0.100
541,HD 217850,HD 217850 b,1,3501.30000000,4.560000,5544.00,1.03,1.21,,,,,,,,0.260
570,HD 238914,HD 238914 b,1,4100.00000000,5.700000,4769.00,1.47,12.73,,,,,,2.37,,-0.250
577,HD 26965,HD 26965 b,1,42.37800000,,5072.00,0.78,0.87,,,,,,4.45,,-0.420
665,HD 55696,HD 55696 b,1,1827.00000000,3.180000,6012.00,1.29,1.52,,,,,,,,0.370
704,HD 75784,HD 75784 c,2,3878.00000000,5.220000,4867.00,1.26,3.40,,,,,,,,0.280
733,HD 89345,HD 89345 b,1,11.81430000,0.106600,5576.00,1.16,1.75,1089,,7.398,13.110000,0.03890,4.02,0.3050,0.421
751,HD 98736,HD 98736 b,1,968.80000000,1.864000,5271.00,0.92,0.93,,,,,,,,0.360
797,IC 4651 9122,IC 4651 9122 b,1,734.00000000,2.038000,,2.10,,,,,,,2.52,,0.120
847,K2-141,K2-141 b,2,0.28032440,,4599.00,0.71,0.68,,,1.510,2.292000,0.02037,4.62,3.1640,-0.060
848,K2-141,K2-141 c,2,7.74850000,,4599.00,0.71,0.68,,,7.000,21.590000,0.09400,4.62,3.1640,-0.060
849,K2-146,K2-146 b,1,2.64464600,0.026600,3385.00,0.36,0.35,,20.70,2.200,15.500000,0.05770,4.91,,-0.020
850,K2-147,K2-147 b,1,0.96191700,0.015900,3672.00,0.58,0.55,,200.10,1.380,8.800000,0.02290,4.72,,0.190
851,K2-148,K2-148 b,3,4.38395000,0.045400,4079.00,0.65,0.63,,48.80,1.330,16.700000,0.01930,4.65,,-0.110
852,K2-148,K2-148 c,3,6.92260000,0.061600,4079.00,0.65,0.63,,26.50,1.730,27.300000,0.02510,4.65,,-0.110
853,K2-148,K2-148 d,3,9.75790000,0.077400,4079.00,0.65,0.63,,16.80,1.640,36.300000,0.02380,4.65,,-0.110
854,K2-149,K2-149 b,1,11.33200000,0.083000,3745.00,0.59,0.57,,7.00,1.640,34.300000,0.02640,4.71,,0.110
856,K2-150,K2-150 b,1,10.59357000,0.072700,3499.00,0.46,0.44,,4.90,2.000,32.200000,0.04200,4.82,,0.090
857,K2-151,K2-151 b,1,3.83559200,0.036500,3585.00,0.44,0.43,,20.80,1.350,18.400000,0.02890,4.82,,-0.320
858,K2-152,K2-152 b,1,32.64790000,0.171600,4044.00,0.63,0.61,337,,2.290,58.800000,0.03440,4.67,,0.120
859,K2-153,K2-153 b,1,7.51574000,0.061400,3845.00,0.55,0.53,497,,2.000,23.600000,0.03480,4.73,,-0.090
860,K2-154,K2-154 b,2,3.67626000,0.040500,4097.00,0.65,0.63,715,,1.990,14.500000,0.02880,4.65,,0.210
861,K2-154,K2-154 c,2,7.95486000,0.067700,4097.00,0.65,0.63,552,,2.070,24.900000,0.03000,4.65,,0.210
862,K2-155,K2-155 b,3,6.34200000,0.056200,4258.00,0.65,0.58,708,,1.800,18.500000,0.02610,4.60,,-0.300
